Variable:,tasmax
Country:,Haiti
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,27.74,28.44,29.01,29.26,29.76,30.69,30.99,31.28,30.90,30.08,28.20,27.35
1902,26.96,27.92,28.75,28.79,29.54,30.57,31.07,31.18,30.60,29.87,28.65,27.89
1903,27.73,28.44,28.77,28.84,29.55,30.61,30.98,31.02,30.34,29.69,28.39,27.52
1904,27.53,27.98,28.41,28.50,29.17,30.06,30.48,30.47,30.09,29.62,28.55,27.84
1905,27.12,28.10,28.64,29.29,29.54,30.68,31.00,31.19,30.61,30.04,29.09,28.02
1906,27.59,28.12,28.45,28.79,29.34,30.08,30.71,30.84,30.42,29.88,28.72,27.03
1907,26.96,27.38,28.20,28.72,29.20,30.23,30.77,30.69,30.16,29.63,28.57,27.85
1908,27.44,27.55,28.44,28.92,29.29,30.34,30.94,31.06,30.41,29.52,28.26,27.54
1909,27.09,27.43,28.87,28.53,29.34,29.95,30.63,30.56,30.40,29.68,27.78,26.97
1910,26.61,27.08,27.81,28.27,28.80,29.91,30.48,30.52,30.15,29.98,28.59,27.18
1911,27.11,27.56,27.92,28.89,28.77,30.50,30.38,30.76,30.37,29.97,29.10,28.16
1912,28.08,27.95,28.90,29.42,29.59,30.21,30.99,30.92,30.44,29.76,28.64,28.33
1913,27.80,27.96,28.63,27.96,29.01,29.57,30.35,30.59,30.29,29.53,28.28,27.32
1914,26.99,27.94,28.03,28.76,29.10,29.97,30.71,30.90,30.43,29.88,28.59,28.44
1915,27.63,27.83,28.65,28.35,29.75,30.65,31.09,31.19,30.73,30.31,28.93,27.67
1916,27.40,27.68,27.97,28.76,29.50,30.61,30.88,30.93,30.32,29.68,28.34,27.23
1917,27.20,27.29,28.18,28.51,29.22,29.90,30.76,30.66,30.26,30.04,27.78,26.80
1918,26.67,27.82,28.43,28.60,28.60,30.09,30.74,31.04,30.42,30.26,28.42,27.84
1919,27.50,28.36,28.76,28.44,29.78,30.45,30.63,31.04,30.31,29.92,28.38,27.73
1920,27.35,27.68,28.47,29.33,29.76,30.27,30.49,30.54,30.09,29.53,28.40,27.72
1921,27.00,28.02,28.31,28.51,28.93,30.25,30.33,30.47,30.28,29.55,28.57,27.91
1922,26.83,27.37,28.03,28.00,28.84,29.78,30.22,30.43,30.23,29.72,28.33,27.53
1923,26.96,27.32,28.40,28.39,29.64,30.22,30.62,31.06,30.87,30.26,28.92,27.97
1924,27.82,27.90,28.87,29.76,30.33,30.66,31.34,31.55,31.00,30.31,28.41,28.05
1925,27.54,27.59,28.36,29.34,29.25,30.47,30.45,31.02,30.92,30.13,29.20,28.44
